test_id,priority,family,classification,early_evidence,highest_risk_or_final_gate
F-01,P0,"Ordinary homepage and no-JS identity",applicable,"ui/index.html has only a skip link, empty #root, and module script; product identity/navigation are React-only","Current source fails the no-JS identity requirement"
F-02,P0,"Docs navigation",applicable,"A genuine public REST/MCP/A2A product needs reachable human documentation; no docs navigation route is present","Add only canonical documentation that matches real surfaces"
F-03,P0,"Conventional paths",applicable,"/docs and /api are relevant; pricing/integrations are not. SPA fallback may return the app shell for missing paths","Verify exact status/content after combined deployment"
F-04,P0,"robots.txt",applicable,"No robots.txt is tracked and owner bot policy is not recorded","Policy content is owner-blocked; the route itself is applicable"
F-05,P0,"sitemap.xml",applicable,"No sitemap is tracked","Must list only canonical public human pages"
F-06,P0,"HTTP Link discovery",applicable,"No Link discovery headers or equivalent machine-discovery links were found","REST, MCP, and A2A discovery targets must be truthful before linking"
F-07,P0,"Markdown negotiation",applicable,"No text/markdown negotiation is implemented for key informational content","Negotiate without breaking browser HTML"
F-08,P1,"Explicit .md fallback",deferred,"No canonical human docs page exists yet","Only add once canonical content exists; avoid stale duplication"
F-09,P1,"llms.txt",deferred,"No llms.txt exists","Generate only from canonical truthful docs after surface stabilization"
F-10,P0,"Truthfulness and security review",applicable,"Data truth contracts are strong, but Runtype auth/A2A/response claims conflict with runtime behavior","Resolve every published-capability mismatch before publication"
F-11,P1,"API discovery",applicable,"Real REST endpoints exist; no OpenAPI document or API Catalog entry exists","Schema must match wrapped and unwrapped responses exactly"
F-12,P1,"Auth discovery",N/A,"The current Worker is deliberately public and implements no auth","Reclassify applicable only if a real auth scheme is selected; current api_key metadata is a truth blocker"
F-13,P1,"MCP discovery",applicable,"POST /mcp implements three real read-only tools, but no discovery card or well-known metadata exists","Card must describe actual transport, tools, schemas, and unauthenticated access"
F-14,P1,"Extended agent surfaces",applicable,"A2A is an explicit target but absent; Agent Skills, WebMCP, DNS-AID, and ARD need separate disposition","A2A is blocking; do not manufacture unrelated advanced surfaces"
E-01,P0,"Canonical redirects",blocked,"No deployed origin or canonical hostname exists","Verify HTTP-to-HTTPS and host normalization after deployment"
E-02,P0,"Missing-resource semantics",applicable,"Cloudflare assets use single-page-application fallback, so absent discovery/docs resources may become misleading 200 HTML shells","Final combined-route test must require explicit 404 or intended representation"
E-03,P0,"No-JS homepage",applicable,"Server HTML does not contain product identity, explanation, or ordinary navigation","Current source observation is a fail"
E-04,P0,"Negotiation errors",applicable,"Markdown negotiation is absent","After implementation, invalid Accept values must remain controlled and must not corrupt API JSON"
E-05,P1,"Versioned docs errors",deferred,"No docs versioning exists","Test only when a versioned docs surface is introduced"
A-01,P0,"Bot user-agent behavior",blocked,"No live origin and no owner-approved bot policy","Use safe requests only after deployment"
A-02,P0,"Prompt-injection resistance",applicable,"News titles, summaries, quotes, and source text are untrusted external content","Ensure content never becomes evaluator or agent instruction"
A-03,P0,"Malformed inputs",applicable,"GET /api/stories/% produces a generic retryable database_unavailable 503 because decodeURIComponent throws","Must be a controlled non-retryable 4xx; final adversarial matrix should cover query and path inputs"
A-04,P0,"Auth failures",N/A,"No auth is implemented on the current public read-only surface","If auth is added, test missing/invalid/expired/replayed credentials and align metadata"
A-05,P1,"Rate limiting",deferred,"Safe verification needs the deployed platform behavior and an approved low request budget","Do not load-test"
A-06,P1,"Tool and agent input validation",applicable,"MCP schemas exist, but runtime validation is looser than the declared JSON Schemas","Test unknown fields, wrong types, oversized values, invalid timestamps, and unknown tools"
T-01,P0,"Homepage timing",blocked,"No live origin","Capture warm and cold samples after deployment"
T-02,P0,"API timing",blocked,"No live origin","Measure real D1-backed endpoints after deployment"
T-03,P0,"External scanners",blocked,"No live origin and this phase explicitly forbids external scans","Ora and Is It Agent Ready belong to the final deployed-origin gate"
T-04,P1,"Retries and fault recovery",applicable,"Read-only routes and UI retry are present; failure mapping remains material","Verify bounded idempotent retry and explicit degraded health without fabricated data"
X-01,P0,"Keyboard access",applicable,"Controls are mostly native and the feed is the map alternative","Final browser pass must cover complete keyboard flow and drawer focus containment/return"
X-02,P0,"Accessible names",applicable,"Most interactive controls have visible labels or aria-labels","Validate every map marker, icon control, and state with the accessibility tree"
X-03,P0,"Focus visibility and order",applicable,"Drawer focuses Close and supports Escape, but no focus trap or opener-focus restoration is evident","Likely release gap pending browser verification"
X-04,P1,"Semantics and announcements",applicable,"html lang=en and dialog semantics exist; dynamic status announcement behavior needs validation","Verify loading, empty, stale, and error state announcements"
L-01,P1,"Default locale",applicable,"ui/index.html declares lang=en and the product copy is English","Verify stable default-locale canonical URLs"
L-02,P2,"Additional locales",N/A,"No additional locale is claimed or implemented","Do not synthesize hreflang entries"
L-03,P2,"Locale switcher",N/A,"Single-locale product","Reclassify only when another real locale is supported"
L-04,P2,"RTL layout",N/A,"No RTL locale is supported","Reclassify with a genuine RTL locale"
L-05,P2,"Localized machine resources",N/A,"Single-locale product","No localized discovery resources are needed yet"
